symbol	KO	OE	group
LINC01315	0.1866	-0.0513	None
RHOQ	0.0686	0.0168	None
AC027020.1	-1.4025	-0.9783	None
HLA-J	-0.9773	3.0479	None
AC010883.1	-0.4694	2.418	None
AL353662.2	2.0123	1.9292	None
AC090844.3	0.2847	2.121	None
SF3B5	-0.1067	-0.552	None
SAAL1	-0.1266	-0.0996	None
AL023583.1	0.0772	-0.9135	None
ABHD17C	-0.1879	-0.6293	None
ROPN1	-0.4228	-1.3782	None
ZNF316	0.1374	0.4428	None
AXDND1	-0.3282	1.9982	None
AL137779.2	-0.0343	-1.1694	None
ECD	-0.0886	0.3451	None
HMGXB4	-0.0377	0.0918	None
NIPSNAP2	-0.1625	-0.592	None
TMOD2	-0.2319	-0.3779	None
CMTM3	-0.1468	0.3294	None
OTX2-AS1	-0.4225	1.7059	None
ZNF611	0.1288	0.1013	None
HSP90AB1	0.0564	0.3103	None
SMG6	0.2039	-0.6225	None
HCFC2	-0.5955	-0.8734	None
MYH4	0.1177	3.3616	None
RPL5P30	0.1066	0.7313	None
RN7SL430P	-1.5483	2.3033	None
MAGOH2P	-0.3338	-0.3172	None
GNPTG	0.034	0.8508	None
MFSD3	-0.5049	-0.3218	None
ANXA10	-0.8135	3.1543	None
SLC52A2	0.09	0.2411	None
ISPD	-0.6121	-0.9572	None
ITIH2	0.3611	2.4902	None
ANKRD27	-0.1189	-0.4543	None
RILPL1	0.0842	-0.4769	None
PRKX	0.0034	-0.3438	None
HLA-DQB2	-1.4228	-0.5745	None
RMDN3	0.1459	-0.6606	None
PA2G4P2	0.5144	-0.1708	None
PSMA3	-0.2667	0.6599	None
BCORL1	0.0864	-0.583	None
TES	0.3279	-1.0578	None
TTC7B	10.5415	-1.3155	L-H
AC024909.2	-2.8822	3.2131	H-L
AL117339.5	-2.4666	2.9902	H-L
AP000553.3	2.4678	1.4902	H-H
CXCL8	1.9808	-3.2979	L-H
DUSP6	-1.5491	1.7559	H-L
ACTN2	-2.5883	1.1343	H-L
ADRA1D	-2.4875	1.6847	H-L
SOX2-OT	-3.458	1.0237	H-L
SLPI	1.4127	-2.497	L-H
BHLHE41	-1.3183	-1.3315	L-L
AP005212.4	-2.8265	1.3293	H-L
NDRG1	1.3193	-1.3525	L-H
HSPA1B	1.5177	-2.8924	L-H
IGFBP3	1.2748	-1.2794	L-H
FOXD4L3	-2.2448	1.7059	H-L
LAMB3	1.1749	-1.5262	L-H
JAML	3.2471	2.4637	H-H
CEP83-DT	-3.7696	-1.6857	L-L
RASL10B	-2.0928	1.9143	H-L
AL353795.3	2.1473	1.8437	H-H
LAMC2	1.0196	-1.3775	L-H
TMC3	-1.5078	2.7827	H-L
LINC00514	-1.9296	2.2828	H-L
SIAH2-AS1	1.8845	2.9814	H-H
FAM129A	1.0462	-1.3763	L-H
SDC4	1.0279	-1.4612	L-H
ANGPT2	-1.0057	1.8365	H-L
AL109615.1	1.6621	1.7766	H-H
AC139426.1	2.3543	2.7413	H-H
HCN1	-2.963	1.955	H-L
IL20RB	1.0435	-2.8973	L-H
